,date,event,myScore,opponent,place,player,result,theirScore,winnings
317,2016-09-11,WCS Copa Intercontinental,3.0,uThermal,3rd,Neeb,1.0,0.0,6000.0
318,2016-08-14,2016 WCS Circuit: Summer Circuit Championship,1.0,Polt,3 - 4th,Neeb,0.0,3.0,10000.0
319,2016-07-31,IEM Season XI - Shanghai,2.0,uThermal,2nd,Neeb,0.0,4.0,8000.0
320,2016-05-08,2016 DreamHack Open: Austin,2.0,Hydra,2nd,Neeb,0.0,4.0,8000.0
321,2014-12-07,2014 Hot6ix Cup,1.0,sOs,2nd,MarineKing,0.0,4.0,7275.0
322,2013-01-26,Iron Squid – Chapter II,0.0,NesTea,4th,MarineKing,0.0,3.0,2500.0
323,2012-06-10,2012 MLG Spring Championship,0.0,Alicia,3rd,MarineKing,0.0,2.0,9000.0
324,2012-03-25,2012 MLG Winter Championship,5.0,DongRaeGu,1st,MarineKing,1.0,2.0,25000.0
325,2012-02-26,2012 MLG Winter Arena,4.0,DongRaeGu,1st,MarineKing,1.0,2.0,10000.0
326,2011-10-23,Electronic Sports World Cup 2011,3.0,Grubby,3rd,MarineKing,1.0,1.0,8000.0
327,2011-08-29,2011 Global StarCraft II League August: Code A,3.0,GanZi,2nd,MarineKing,0.0,4.0,930.0
328,2011-06-13,LG Cinema 3D Super Tournament,2.0,MMA,3 - 4th,MarineKing,0.0,3.0,9300.0
329,2011-04-09,2011 LG Cinema 3D World Championship Seoul,2.0,Mvp,2nd,MarineKing,0.0,4.0,13470.0
330,2011-01-29,2011 Sony Ericsson Global StarCraft II League January: Code S,0.0,Mvp,2nd,MarineKing,0.0,4.0,17934.0
331,2010-11-13,2010 Sony Ericsson StarCraft II Open Season 2,3.0,NesTea,2nd,MarineKing,0.0,4.0,26700.0
332,2015-07-12,LOTTE Homeshopping 2015 KeSPA Cup Season 2,1.0,soO,3 - 4th,Flash,0.0,3.0,1788.0
333,2014-11-16,HomeStory Cup X,3.0,PartinG,2nd,Flash,0.0,4.0,6500.0
