,alternate_ids,birth,country,imageURL,name,nicknames,pageURL,player,race,romanized_name,team,total_earnings,wcs_korea_points,wcs_korea_rank,retired,sponsor,wcs_circuit_points,wcs_circuit_rank,clan
111,"['AcerBly', 'Virus.Bly', 'Empire.Bly', 'AiBly', 'bly4eg', 'ngt.bly4eg']",1989-01-22,Ukraine,https://liquipedia.net/commons/images/a/a5/Bly_DH_Tours_2015.jpg,Александр Свисюк,,https://liquipedia.net/starcraft2/Bly,Bly,Zerg,Aleksandr Svysiuk,Team Blacer,112458.0,,,,,1050.0,19,
112,"['ALNaama', 'eSaharaNaama', 'Virus.Naama', 'mouzNaama', 'Naamahauki', 'Naamis']",1992-10-13,Finland,https://liquipedia.net/commons/images/8/81/Naamafnatic.jpg,Santeri Lahtinen,,https://liquipedia.net/starcraft2/Naama,Naama,Terran,,,24276.0,,,,,,,
113,oGs.SuperNova,1990-05-17,South Korea,https://liquipedia.net/commons/images/thumb/6/63/SuperNova2_IEM_Shenzhen_2015.jpg/600px-SuperNova2_IEM_Shenzhen_2015.jpg,김영진,,https://liquipedia.net/starcraft2/SuperNova,SuperNova,Terran,Kim Young-jin,ROOT Gaming,58452.0,,,,,,,
114,,1992-06-03,Peru,https://liquipedia.net/commons/images/f/f6/Fenix2.jpg,Jian Carlo Morayra Alejo,,https://liquipedia.net/starcraft2/Fenix,Fenix,Terran,,,33399.0,,,,,,,
115,"['IMYongHwa', 'YongHwa[Name]']",1992-01-30,South Korea,https://liquipedia.net/commons/images/thumb/7/7f/Yonghwa-SF20120811-143655.jpg/600px-Yonghwa-SF20120811-143655.jpg,최용화,,https://liquipedia.net/starcraft2/YongHwa,YongHwa,Protoss,Choi Yong-hwa,,41084.0,,,,,,,
116,"['WhiteRa', 'gameitoss', 'TtWhiteRa', 'DuckloadRa', 'PapaToss']",1980-11-15,Ukraine,https://liquipedia.net/commons/images/thumb/b/b4/WhiteRaOct19.jpg/600px-WhiteRaOct19.jpg,Алексей Крупник,,https://liquipedia.net/starcraft2/White-Ra,White-Ra,Protoss,Aleksey Krupnyk,,55304.0,,,,Tt-eSports Playhem Tutorsville,,,
117,nB.PtitDrogo,1995-11-09,France,https://liquipedia.net/commons/images/thumb/c/c7/PtitDrogo_HSC11.jpg/600px-PtitDrogo_HSC11.jpg,Théo Freydière,,https://liquipedia.net/starcraft2/PtitDrogo,PtitDrogo,Protoss,,Iron Chain,88843.0,,,,,525.0,35,
118,oGsInCa,1991-07-23,South Korea,https://liquipedia.net/commons/images/5/54/InCaGOMTV.jpg,송준혁,,https://liquipedia.net/starcraft2/InCa,InCa,Protoss,Song Joon-hyuk,,32648.0,,,2013-07-31,,,,
119,"['aLive.Hoon', 'Hoon.MvP', 'Sting', 'NSHHoon', 'NSHSting']",,South Korea,https://liquipedia.net/commons/images/thumb/1/16/StingDHS13.jpeg/600px-StingDHS13.jpeg,주훈,,https://liquipedia.net/starcraft2/Sting,Sting,Terran,Ju Hoon,,16719.0,,,,,,,
120,"['WE.Loner', 'Zoo.Loner']",1991-02-10,China,https://liquipedia.net/commons/images/4/42/LonerGOMTV.jpg,戴逸,,https://liquipedia.net/starcraft2/Loner,Loner,Terran,Dai Yi,,33683.0,,,,,,,
121,"['HongUn.Prime.WE', 'eSahara.HoungUn', 'WeHongUn', 'AL.HongUn']",1987-03-26,South Korea,https://liquipedia.net/commons/images/8/8c/HongUnGOMTV.jpg,안홍욱,,https://liquipedia.net/starcraft2/HongUn,HongUn,Protoss,Ahn Hong-wook,,28736.0,,,,,,,
