doubanID,imdbID,doubanURL,imdbURL,movieTitle,year,directorName,directorID,category,releaseDate,duration,relatedMovieIDs,doubanTotalVotes,imdbTotalVotes,doubanScore,imdbScore,douban-1star,douban-2star,douban-3star,douban-4star,douban-5star,imdb-1star,imdb-2star,imdb-3star,imdb-4star,imdb-5star,imdb-6star,imdb-7star,imdb-8star,imdb-9star,imdb-10star
1296356,tt0066413,https://movie.douban.com/subject/1296356,http://www.imdb.com/title/tt0066413,蜘蛛的策略 Strategia del ragno,1970,贝纳尔多·贝托鲁奇,/celebrity/1035651/,"['剧情', '悬疑']","['1970-08-25(威尼斯电影节)', '1973-03-27(意大利)']",100分钟,"['1441973', '1420121', '2368790', '1465572', '3047620', '1302727', '3011764', '1306590', '1296495', '1477853']",217,2100,7.36405529953917,7.077142857142857,0,14,69,106,28,28,27,44,66,156,329,568,473,220,189
1300827,tt0234217,https://movie.douban.com/subject/1300827,http://www.imdb.com/title/tt0234217,五月碧云天 Mayıs Sıkıntısı,1999,努里·比格·锡兰,/celebrity/1274329/,"['剧情', '喜剧']",['1999-12-10'],130分钟,"['1304717', '1307921', '26878883', '1294534', '4826409', '1291556', '1293455', '21770915', '3285632', '2001296']",1593,3889,8.3879472693032,7.565183851889947,5,13,228,769,578,178,36,34,54,140,324,858,978,491,796
25818869,tt1773753,https://movie.douban.com/subject/25818869,http://www.imdb.com/title/tt1773753,玛拉 Mara,2018,Clive Tonge,/subject_search?search_text=Clive%20Tonge,"['惊悚', '恐怖', '犯罪']","['2018-08-22(菲律宾)', '2018-09-07(美国)', '2018-11-02(台湾)']",98分钟,"['27027904', '27072846', '25915752', '26897936', '27113766', '27107787', '30242264', '30222631', '26577328', '11502902']",455,3899,4.901098901098901,5.251090023082841,66,175,173,25,16,206,183,320,555,894,818,468,207,68,180
1305732,tt0046187,https://movie.douban.com/subject/1305732,http://www.imdb.com/title/tt0046187,南街奇遇 Pickup on South Street,1953,塞缪尔·富勒,/celebrity/1025328/,"['惊悚', '黑色电影']",['1953-05-29'],80 分钟,"['1294823', '1299521', '1304210', '1305657', '1464169', '2382777', '1305032', '1305185', '1308886', '1294571']",870,11036,7.439080459770115,7.730518303733237,6,30,288,419,126,125,41,61,108,385,924,2472,3799,1883,1238
1297874,tt0033870,https://movie.douban.com/subject/1297874,http://www.imdb.com/title/tt0033870,马耳他之鹰 The Maltese Falcon,1941,约翰·休斯顿,/celebrity/1025239/,"['悬疑', '犯罪', '黑色电影']",['1941-10-18'],101分钟,"['1295451', '1293352', '1293226', '1293177', '1294756', '1293889', '1295872', '1293381', '1294072', '1298505']",7904,139149,7.544281376518219,7.9711532242416405,32,198,2585,3778,1304,1927,698,985,1647,3829,9494,24825,40900,29212,25632
1302943,tt0035432,https://movie.douban.com/subject/1302943,http://www.imdb.com/title/tt0035432,合约杀手 This Gun for Hire,1942,弗兰克·塔特尔,/celebrity/1155244/,"['惊悚', '犯罪', '黑色电影']",['1942-05-13'],80 分钟,"['1308886', '1300249', '1303304', '1296435', '2058564', '1300442', '1755448', '1302893', '1304487', '1298894']",301,7149,7.348837209302326,7.549727234578262,4,10,106,146,36,53,19,35,72,295,737,1999,2445,901,593
1298517,tt0067093,https://movie.douban.com/subject/1298517,http://www.imdb.com/title/tt0067093,屋顶上的小提琴手 Fiddler on the Roof,1971,诺曼·杰威森,/celebrity/1010709/,"['剧情', '歌舞']",['1971-11-03'],181 分钟,"['1305054', '1294595', '1828403', '1448668', '1434323', '1448669', '1299663', '3285642', '1292001', '1293399']",2892,34763,8.463347164591978,8.089836895549865,6,46,414,1232,1194,464,171,249,458,1036,2296,5479,9457,6653,8500
1427349,tt0056868,https://movie.douban.com/subject/1427349,http://www.imdb.com/title/tt0056868,说谎者比利 Billy Liar,1963,约翰·施莱辛格,/celebrity/1007121/,"['剧情', '喜剧', '爱情']",['1963-08'],98 分钟,"['4775855', '1295918', '1302119', '1300893', '1293057', '4096051', '1300467', '3036550', '1305790', '2342462']",407,5058,7.572481572481573,7.4746935547647295,3,7,122,217,58,63,34,55,106,232,601,1212,1531,651,573
25817988,tt3390572,https://movie.douban.com/subject/25817988,http://www.imdb.com/title/tt3390572,海德尔 Haider,2014,维夏·巴德瓦杰,/celebrity/1278579/,['家庭'],['2014-09-16'],162分钟,"['25835434', '26349954', '5154033', '4720745', '20388682', '3080426', '26830254', '5920985', '25806118', '5186217']",216,45456,6.611111111111112,8.285880851812742,6,32,93,60,25,2075,361,313,419,896,1774,4319,8060,10996,16243
1292901,tt0089791,https://movie.douban.com/subject/1292901,http://www.imdb.com/title/tt0089791,荒唐小混蛋奇遇记 Pee-wee's Big Adventure,1985,蒂姆·波顿,/celebrity/1019002/,"['喜剧', '家庭', '冒险']",['1985-08-09'],90 分钟,"['1301779', '1293639', '1779759', '1303245', '1292500', '1300407', '26725409', '1308976', '1294761', '1295534']",533,46210,6.979362101313321,7.140640553992643,12,45,215,187,73,1190,669,984,1704,3373,6714,10894,8948,4658,7076
6876029,tt1792543,https://movie.douban.com/subject/6876029,http://www.imdb.com/title/tt1792543,重逢 The Reunion,2011,Michael Pavone,/subject_search?search_text=Michael%20Pavone,['动作'],['2011-10-21'],90分钟,"['1420018', '20438437', '3637242', '4290934', '5153058', '5240733', '6390827', '4023250', '21372181', '5156654']",360,3601,5.611111111111111,5.613440710913634,22,90,197,38,13,219,140,269,452,764,677,369,192,91,428
